Gender,Age,Debt,Married,BankCustomer,Industry,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,Approved_enc,Gender_Male,Married_Yes,BankCustomer_Yes,Industry_ConsumerDiscretionary,Industry_ConsumerStaples,Industry_Education,Industry_Energy,Industry_Financials,Industry_Healthcare,Industry_Industrials,Industry_InformationTechnology,Industry_Materials,Industry_Real Estate,Industry_Research,Industry_Transport,Industry_Unknown,Industry_Utilities,Industry_communicationservices,Industry_consumerdiscretionary,Industry_consumerstaples,Industry_education,Industry_energy,Industry_financials,Industry_healthcare,Industry_industrials,Industry_informationtechnology,Industry_materials,Industry_real estate,Industry_research,Industry_transport,Industry_utilities,PriorDefault_Yes,Employed_Yes,DriversLicense_Yes,Citizen_ByOtherMeans,Citizen_Temporary,Citizen_Unknown,Citizen_bybirth,Citizen_byothermeans,Citizen_temporary
Female,47.61,7.84,No,Yes,Financials,No,Yes,1.0,Yes,ByOtherMeans,77510,293.0,Rejected,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Male,45.53,12.93,Yes,No,Utilities,Yes,Yes,61.0,Yes,ByBirth,19260,41791.0,Approved,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,63.09,25.5,No,No,Healthcare,No,Yes,31.0,Yes,ByOtherMeans,32710,49471.0,Rejected,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Female,23.19,7.03,No,Yes,CommunicationServices,Yes,Yes,46.0,No,ByBirth,1473,10495.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Male,42.35,2.08,No,No,Industrials,No,No,48.0,Yes,ByBirth,53169,90178.0,Rejected,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,80.21,26.52,Yes,Yes,Real Estate,No,No,1.0,Yes,ByOtherMeans,65193,99374.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Male,70.14,19.61,Yes,Yes,ConsumerDiscretionary,Yes,Yes,59.0,Yes,ByBirth,12369,33941.0,Approved,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,71.67,11.12,Yes,Yes,Utilities,Yes,Yes,33.0,Yes,ByOtherMeans,76135,8183.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Female,37.47,17.33,Yes,Yes,Financials,Yes,Yes,26.0,No,ByBirth,85958,49471.0,Approved,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Male,80.13,16.83,No,No,Financials,Yes,Yes,58.0,No,ByBirth,77030,2337.0,Approved,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,75.35,20.61,Yes,Yes,healthcare,No,Yes,30.0,Yes,bybirth,34537,9723.0,Rejected,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Female,52.2,4.18,No,No,Energy,No,No,39.0,No,ByBirth,8781,92387.0,Rejected,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,44.34,6.3,No,No,Industrials,No,Yes,42.0,No,ByBirth,256,81900.0,Rejected,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,57.95,15.72,No,Yes,Education,Yes,No,33.0,Yes,ByBirth,87930,64837.0,Approved,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Female,67.61,19.1,Yes,No,Utilities,No,Yes,52.0,Yes,ByBirth,6471,52539.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,42.37,16.48,Yes,Yes,Materials,No,Yes,55.0,Yes,ByBirth,42303,59902.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,46.8,17.79,No,Yes,ConsumerDiscretionary,Yes,No,14.0,Yes,Temporary,78311,77600.0,Rejected,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Male,34.5,3.2,Yes,Yes,CommunicationServices,Yes,Yes,26.0,No,ByBirth,11444,29726.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,27.81,0.1,Yes,Yes,Transport,Yes,No,33.0,Yes,ByBirth,86828,43488.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,47.61,19.97,Yes,Yes,ConsumerDiscretionary,Yes,Yes,36.0,Yes,ByBirth,81339,44159.0,Approved,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,59.38,7.88,Yes,No,Materials,Yes,No,48.0,No,ByBirth,27873,77560.0,Approved,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Male,56.6,8.71,No,Yes,Real Estate,No,No,33.0,Yes,ByBirth,36152,52583.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Female,22.76,24.25,Yes,Yes,ConsumerDiscretionary,No,Yes,12.0,No,ByBirth,84799,-1.0,Rejected,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,50.11,27.79,Yes,Yes,research,Yes,Yes,54.0,No,ByBirth,73066,85047.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Female,58.3,23.01,Yes,No,Industrials,Yes,Yes,13.0,Yes,ByBirth,20346,59385.0,Approved,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,15.06,24.23,No,No,Unknown,Yes,Yes,52.0,Yes,ByBirth,22990,83768.0,Approved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,36.88,2.4,Yes,No,Materials,Yes,Yes,7.0,Yes,Temporary,69366,11022.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Female,62.1,21.26,No,Yes,Research,Yes,No,49.0,No,ByBirth,86816,18852.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Female,67.77,21.58,Yes,No,Research,No,Yes,8.0,No,Temporary,16169,85173.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Female,74.56,18.65,No,Yes,Research,No,Yes,58.0,Yes,bybirth,57206,87200.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Female,49.05,5.23,No,Yes,consumerdiscretionary,Yes,Yes,29.0,No,ByBirth,73814,85822.0,Approved,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,76.57,18.25,No,Yes,Financials,Yes,No,4.0,Yes,ByBirth,88731,15573.0,Rejected,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,29.08,23.36,Yes,Yes,industrials,Yes,Yes,55.0,Yes,ByBirth,15021,10433.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,53.62,19.5,No,Yes,Energy,Yes,Yes,12.0,No,ByBirth,1681,49471.0,Rejected,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Male,76.84,26.79,Yes,Yes,Materials,Yes,Yes,49.0,Yes,ByBirth,49530,34586.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,35.32,21.42,Yes,Yes,Unknown,Yes,Yes,65.0,Yes,ByBirth,31048,68580.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,16.87,0.28,No,No,CommunicationServices,No,Yes,3.0,Yes,ByBirth,34484,30499.0,Rejected,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Male,59.91,10.96,No,Yes,ConsumerStaples,Yes,Yes,12.0,Yes,ByBirth,30265,10310.0,Rejected,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,41.57,14.31,No,Yes,ConsumerDiscretionary,Yes,Yes,57.0,Yes,ByBirth,41294,75753.0,Approved,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,70.83,8.75,Yes,Yes,Transport,Yes,Yes,12.0,Yes,ByBirth,45392,49471.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,31.63,10.95,No,No,Utilities,Yes,No,0.0,Yes,ByBirth,80535,2578.0,Rejected,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Male,61.19,2.42,Yes,Yes,Financials,No,Yes,29.0,Yes,bybirth,25087,49471.0,Rejected,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Female,61.28,1.89,Yes,No,ConsumerDiscretionary,Yes,Yes,21.0,No,byothermeans,84657,27010.0,Approved,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Female,38.36,26.19,No,No,ConsumerDiscretionary,No,Yes,56.0,No,bybirth,50370,22783.0,Rejected,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Female,48.64,14.04,Yes,No,Materials,Yes,Yes,18.0,Yes,ByBirth,55691,29758.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,62.13,14.67,No,Yes,Utilities,No,Yes,29.0,Yes,ByOtherMeans,9353,319.0,Rejected,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Male,63.23,20.0,Yes,Yes,Healthcare,Yes,Yes,61.0,Yes,ByBirth,106,19985.0,Approved,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,39.21,24.54,Yes,No,Research,Yes,Yes,67.0,Yes,ByOtherMeans,23471,53715.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Male,41.77,12.0,Yes,No,Education,Yes,Yes,15.0,No,bybirth,46628,43243.0,Approved,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Male,14.99,19.1,Yes,Yes,InformationTechnology,No,Yes,62.0,Yes,ByBirth,14678,28882.0,Rejected,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,0.0,11.0,Yes,No,communicationservices,Yes,Yes,34.0,Yes,bybirth,17275,26277.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Male,40.33,5.83,No,No,Financials,Yes,Yes,5.0,Yes,ByBirth,56090,89933.0,Approved,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,64.63,25.86,No,Yes,InformationTechnology,Yes,Yes,39.0,No,ByOtherMeans,39679,66799.0,Approved,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Male,14.08,25.59,No,No,Materials,Yes,No,28.0,No,Unknown,60800,82226.0,Rejected,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Female,78.62,22.67,No,Yes,healthcare,No,Yes,25.0,No,ByBirth,26362,45954.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Female,77.35,10.57,No,Yes,industrials,No,No,33.0,Yes,ByBirth,97713,15472.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Male,71.66,20.83,No,Yes,InformationTechnology,Yes,Yes,3.0,Yes,ByBirth,16604,67952.0,Approved,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,47.61,7.55,No,Yes,Unknown,No,Yes,0.0,No,ByOtherMeans,93212,30981.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Female,74.74,24.83,Yes,No,InformationTechnology,Yes,Yes,34.0,No,ByBirth,99961,81375.0,Approved,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,57.65,27.35,Yes,Yes,Healthcare,Yes,Yes,18.0,Yes,ByBirth,20743,86696.0,Approved,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,56.98,13.92,Yes,Yes,utilities,Yes,Yes,52.0,No,ByBirth,17197,98483.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Male,32.83,24.79,Yes,No,Industrials,Yes,Yes,42.0,No,ByBirth,41553,53523.0,Approved,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Female,39.8,1.58,Yes,Yes,Research,Yes,Yes,44.0,No,Temporary,62505,57053.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Male,54.44,24.6,Yes,No,Industrials,Yes,Yes,26.0,Yes,ByBirth,48003,63724.0,Approved,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Female,68.58,11.7,No,Yes,Transport,No,Yes,25.0,No,Temporary,12621,61557.0,Rejected,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Male,44.05,12.7,Yes,Yes,Energy,No,Yes,44.0,No,Temporary,34134,35378.0,Rejected,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Male,30.09,11.84,Yes,Yes,Unknown,Yes,Yes,9.0,Yes,bybirth,21306,31955.0,Approved,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Female,64.96,20.3,Yes,Yes,Education,Yes,Yes,8.0,Yes,ByBirth,6272,66206.0,Approved,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Male,74.03,17.89,Yes,Yes,Education,No,Yes,23.0,No,ByBirth,59947,18188.0,Rejected,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,25.19,7.39,Yes,Yes,CommunicationServices,No,Yes,49.0,Yes,Unknown,42053,19779.0,Rejected,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Female,56.91,24.26,Yes,Yes,ConsumerDiscretionary,No,Yes,51.0,Yes,ByBirth,27931,41925.0,Rejected,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Female,58.8,21.89,Yes,No,Unknown,Yes,No,55.0,No,ByOtherMeans,9642,83853.0,Approved,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Male,18.66,27.63,Yes,No,Industrials,Yes,No,40.0,Yes,ByBirth,77190,49471.0,Rejected,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Female,30.33,27.92,Yes,No,Research,No,Yes,16.0,Yes,ByOtherMeans,34908,-1.0,Rejected,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Female,14.57,5.67,Yes,Yes,Transport,Yes,Yes,36.0,Yes,ByBirth,21780,59684.0,Approved,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
